%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 119 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6295742531087714
%.kernel.kernels[0].lengthscales: [  0.51556398   0.83549776   1.02137618   1.88383657   1.17389732   1.49690591   1.64531543   0.98623127   1.52874677   1.17209423   1.78116442 228.00481396   2.62928727   0.73692999   0.65217057   1.96055514   0.60078923   1.54640415   0.97628583]
%.kernel.kernels[1].variance: 0.02713284288510828
%.likelihood.variance: 0.8516747811412062
%loglikelihood: -6537.233668194998
%RMSE:1.527
%Pearson_correlation_coefficient:0.746,P-value:0.000
%Spearman_correlation_coefficient:0.746,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4
1axz,-2.6437,0.4691,-3.2535,-1.2969,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.0664,0.1896,-1.9119,1.578,-0.712,-0.6088,-1.2831,0.5656,0.3665,-0.8144,-0.4075,-0.9016,-0.4026
1b11,0.8667,0.6819,0.9365,0.2033,0.4965,0.5294,0.107,-0.009,0.9746,-0.6106,0.3705,0.8717,-0.7958,-0.1552,-0.2075,-0.4901,0.289,0.0996,-0.26,0.0304,2.082,-0.6375
1b39,-1.8967,0.5299,0.4665,0.7508,0.1283,-0.0986,-1.214,-0.607,-0.8678,0.9179,0.842,-0.1511,0.1537,1.409,1.4705,-1.2831,-0.0241,2.2344,3.0262,2.2199,-0.9016,-0.4026
1b7h,0.6013,0.3921,1.5665,0.7967,0.1463,-1.2671,0.456,3.9892,-1.2618,1.2933,1.8165,0.7738,0.4702,0.9695,0.862,0.4118,1.0185,-0.1672,-0.8144,0.2493,-0.1128,4.9988
1b8o,2.8440,0.2616,4.1865,-0.2095,-0.4904,-1.0758,-1.214,-0.3527,-0.3743,-0.1011,0.4346,-0.0323,0.4476,-0.75,-0.5304,-0.9855,0.5842,-0.1672,-0.2381,0.0304,-0.9016,1.0064
1b9j,0.4240,0.3937,-0.4935,0.8063,0.1285,-1.3115,0.7134,4.0519,-1.2618,1.2665,2.0541,0.7971,0.4702,0.9695,0.7563,0.4118,1.0185,-0.1672,-0.8144,0.2493,-0.35,4.764
1bcu,-2.2277,0.3880,-3.1735,-0.9025,-0.7021,0.6497,0.1055,-0.35,0.0602,-1.1469,-1.0573,-1.7368,0.0331,-0.6565,-1.1272,-0.2154,-0.591,-1.2346,-0.2381,-1.0644,-0.4152,-0.6375
1bma,0.5468,1.1367,-1.8635,0.358,0.7578,1.2558,0.3499,0.3058,0.7858,0.6497,-0.4641,0.986,-0.8034,0.1282,-0.1288,0.3165,-0.6413,-0.434,-0.2834,-0.1886,1.9039,-0.6375
1bra,-2.2130,0.0672,-4.6335,-1.377,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737,-1.276,-2.0498,0.7716,-1.7141,-0.6662,-1.2831,-1.2932,-1.2346,-0.8144,-1.2833,-0.172,-0.6375
1bxo,2.2960,1.1183,3.5465,1.7364,1.4263,0.6615,0.3225,0.538,-0.1586,2.0978,0.7709,1.2168,-0.8335,0.0888,0.2194,1.5608,0.3014,1.167,0.7958,1.1251,1.7259,-0.6375
1c84,-1.5776,0.6783,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157,-0.0342,0.0453,-0.0475,0.2422,-0.4412,-0.419,0.935,0.1633,-1.0149,0.2483,0.0996,-0.8144,-0.4075,0.0712,-0.1678
1d7j,-3.0565,0.9298,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148,1.2366,-1.2618,-1.9245,-1.0441,-0.6511,1.48,-0.6864,-1.2072,-0.3293,-0.9796,-0.7009,-0.8144,-1.2833,-0.9016,-0.6375
1det,-1.8400,0.8234,-2.1535,-0.9319,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,-0.3424,0.682,-0.0224,0.0181,1.236,-0.2125,-1.2831,-0.0241,0.9002,0.285,1.1251,-0.9016,0.7716
1df8,0.8340,0.2453,3.2465,-0.3955,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.4497,0.0879,-0.1887,1.0731,0.9943,-0.3668,0.2585,-0.0335,-0.434,-0.26,-0.6265,-0.6451,-0.4026
1dhi,-0.1347,0.5842,0.8065,0.2853,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.262,0.0458,0.3451,-1.67,0.9943,-0.4363,0.3459,1.2513,0.0996,0.3383,1.1251,-0.9016,0.3019
1e1v,0.1629,0.8072,-1.5335,-0.4022,-0.5833,0.4469,-0.3999,-0.5791,-1.0648,-0.7178,-0.6908,-1.6511,0.3647,0.1825,-0.3466,-0.5562,-0.3458,-0.9677,-0.2381,-0.4075,-0.1321,1.2413
1e5a,-0.6714,0.9168,1.1865,-1.5161,-1.4161,0.997,0.7053,0.2418,-0.4647,-1.9245,-1.276,-2.0683,2.1055,0.5084,-1.1547,-1.0675,-0.9796,-0.9677,-0.8144,-1.5023,-0.2604,-0.6375
1e66,0.4920,1.1661,3.4365,0.0352,-0.2118,1.3596,1.2059,-0.5103,0.177,0.1939,-1.276,-1.353,0.5983,-0.6649,-0.7236,0.8946,-0.9421,-1.2346,-0.8144,-1.2833,0.309,0.0671
1ela,0.8236,0.6852,-0.0935,0.1162,0.3251,0.5407,1.2059,0.0784,-0.3325,0.0866,-0.1965,0.8574,-0.2156,0.1282,-0.241,0.5598,0.0102,-0.434,-0.8144,-0.1886,0.1364,-0.6375
1elb,-0.0249,1.3591,0.6965,0.0673,0.4087,0.7071,1.185,1.1935,-0.3325,0.5157,-0.7219,0.8401,-0.2156,0.1282,0.5032,0.4448,0.0353,-0.434,-0.8144,-0.1886,0.6879,-0.1678
1f4e,-2.7697,0.6917,-3.4935,-0.8778,-0.6455,-0.1681,0.1697,-0.0893,-0.3325,-1.4687,-0.8707,0.2993,0.7038,0.975,-0.9518,-0.3752,-0.6854,-0.1672,0.159,-0.6265,-0.1913,-0.6375
1f4f,-0.4114,1.5348,-1.8335,0.2608,-0.0808,-1.379,0.9549,-0.1408,-0.3325,-0.1815,-0.9643,0.4433,-0.4944,0.9943,0.2971,0.2469,0.8561,1.167,0.159,0.6872,-0.9016,0.0671
1f4g,-0.0778,1.6268,0.0265,0.9626,0.2873,-1.5311,0.9549,-0.0712,-0.3325,0.9179,-0.2105,0.6771,-0.8938,0.9943,0.2611,1.4193,1.1821,1.4339,0.159,1.1251,-0.9016,0.3019
1f5k,-2.0689,0.0679,-2.7135,-1.364,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.0933,-1.276,-2.0498,0.7716,-1.7141,-0.7557,-1.2831,-1.2932,-1.2346,-0.8144,-1.2833,-0.172,-0.6375
1fcx,1.2302,0.9107,0.7365,0.8816,0.4517,1.291,2.0289,-0.4443,1.3075,-0.2888,-0.7195,-0.3302,-0.2382,0.9359,-0.7429,-0.2258,-0.3718,-0.434,-0.8144,-1.0644,1.9039,-0.4026
1fcz,1.5934,0.5516,2.7665,0.666,0.149,1.1866,1.3158,-0.2541,1.1189,-0.4497,-0.6911,0.5617,-0.2608,0.9359,-0.7215,0.0424,-0.6854,-0.434,-0.8144,-1.0644,1.9043,-0.6375
1fd0,1.1151,0.9492,1.9465,0.9646,0.4873,1.3356,1.8068,-0.4506,1.3075,-0.2352,-0.6376,-0.3276,-0.6074,0.9359,-0.6343,0.3106,-0.3656,-0.434,-0.8144,-0.8454,1.8682,-0.1678
1fh7,-0.4649,0.7598,-1.2135,-0.6007,-0.7846,-1.6435,-1.214,-0.1141,-1.2618,0.2475,0.3119,-1.6578,1.5177,-0.7738,0.5454,-1.2831,1.1819,0.6333,-0.8144,0.0304,-0.9016,1.711
1fh8,-0.4943,0.6889,0.4365,-0.8072,-0.8068,-1.3264,-1.214,-0.1349,-1.2618,-0.2888,0.6572,-1.6803,1.5478,-0.7738,-0.1363,-0.8437,0.8683,0.3665,-0.8144,-0.1886,-0.9016,1.0064
1fh9,-1.1564,0.9384,-0.0235,-0.3638,-0.7775,-1.3927,-1.214,-0.1508,-1.2618,0.7302,1.0052,-1.642,0.9977,-0.54,1.2199,-0.9699,1.5022,0.9002,-0.8144,0.4683,-0.6941,2.4155
1fkb,1.1124,1.6417,3.2465,0.94,3.5241,1.7675,3.427,-0.0669,0.2216,0.4889,-0.0215,1.6996,-0.7807,0.0128,-0.3534,5.0169,1.4023,2.2344,-0.26,1.3441,1.9388,-0.6375
1fki,0.0854,1.2773,0.5465,-0.3495,0.4205,1.0845,0.7762,0.2869,-1.2618,-0.6642,-0.7504,0.8311,0.312,0.0621,-1.0413,1.584,-0.4109,0.3665,-0.26,-0.1886,0.8939,-0.6375
1fkn,1.0453,1.4574,2.3465,2.3645,2.6978,-2.1261,1.5131,1.6678,-0.1436,2.0173,2.2767,1.3675,-2.8833,0.9943,1.6269,2.3287,3.5013,2.5012,-0.8144,3.0957,1.6933,-0.6375
1flr,0.6548,0.4512,3.5465,0.0456,-0.0416,0.6748,0.0846,-0.4441,1.1203,0.0866,-0.4885,-0.0671,-0.9541,0.9357,-0.5581,0.3637,-0.1007,-0.1672,-0.8144,-0.6265,0.0712,-0.6375
1fo0,1.6268,1.7171,-0.8635,4.4805,3.3633,-2.1118,0.107,0.5969,0.9746,5.1547,3.7584,1.4624,-3.8705,0.9932,3.3779,2.2589,3.5706,2.5012,-0.8144,3.5335,2.89,4.0595
1ftm,0.5554,0.2770,1.1565,-0.7727,-1.0519,-1.0058,-0.9148,0.4506,-0.5843,0.0866,0.9219,-0.3065,0.5832,0.9258,0.1165,-0.6455,-0.0571,-0.434,-0.8144,-0.4075,-0.9016,1.2413
1fzk,1.1068,0.7671,1.9465,2.7587,3.3387,-1.3626,2.0474,-0.5839,0.7858,2.3391,0.8222,1.5354,-3.5916,0.9695,1.0548,2.1383,2.8873,1.9675,-0.8144,3.0957,1.3524,1.9458
1g7q,0.2748,1.6754,-0.3935,1.9569,2.132,-3.603,1.3538,0.4112,-1.2618,3.1972,2.1237,1.3675,-2.4763,0.9932,2.3799,1.7224,3.1316,2.2344,-0.8144,3.5335,-0.9016,3.1201
1gni,-0.0164,0.4935,1.6165,-0.4417,-0.2995,1.3341,0.456,2.9722,-0.8835,-1.3614,-1.1641,-0.5412,1.1635,0.9943,-1.0315,1.0531,-0.6854,-0.7009,-0.8144,-1.2833,1.9134,-0.6375
1gpk,0.8558,0.8048,-1.0835,-0.2393,-0.4012,0.2579,0.1701,-0.1158,0.5181,-0.8251,-0.7422,-0.0178,0.5456,-1.2405,-0.8402,0.8691,-0.637,-0.9677,-0.8144,-1.0644,-0.1901,0.3019
1gz9,-1.4543,1.1580,-2.9435,0.0016,0.0633,-2.1533,-0.9148,-0.2456,-1.2618,0.2743,0.5875,-1.2949,1.3067,-0.712,0.0521,-1.0848,3.2968,2.7681,-0.8144,1.563,-0.9016,0.3019
1h23,1.6666,1.4409,1.8965,1.4138,1.2569,0.9558,1.5405,-0.7908,0.8446,1.3201,-0.4226,0.0878,0.116,-1.2267,0.7109,3.1138,-0.0311,-0.7009,-0.8144,-0.4075,0.6374,-0.1678
1ha2,-0.2763,0.4910,-0.9135,-0.4143,-0.1425,0.9754,-0.144,-0.2792,1.1115,-1.3078,-1.0205,0.3198,-0.4115,0.5195,-1.0441,-0.2953,-0.7085,-0.434,-0.26,-0.8454,0.8008,-0.4026
1hfs,2.5827,1.6665,2.2465,2.9854,2.3295,1.9564,3.2623,-0.7268,2.6524,2.7145,0.2489,1.4508,-2.2427,0.991,0.4441,2.1095,0.2673,0.0996,-0.3067,0.0304,2.8249,-0.6375
1hi4,-1.6004,0.3967,-1.9635,-0.3868,-0.0838,-0.1346,-1.214,-0.4461,-0.8678,0.462,-0.1578,-0.4335,-0.0573,1.2352,1.0579,-1.2831,-0.3377,1.4339,1.9609,1.563,-0.9016,-0.6375
1hk4,-0.1841,1.6447,-1.1435,-0.5408,-0.56,0.6353,4.0312,-0.2287,0.1139,-0.8251,-1.0453,-0.3627,2.0528,0.9258,-0.0739,-0.8437,0.2697,-0.1672,-0.8144,-0.6265,-0.9016,-0.1678
1if7,2.1470,0.4262,4.0665,-0.5533,0.1935,0.5888,0.8621,-0.5231,0.8048,-1.0933,-0.8331,0.3742,-0.2306,-1.1682,-0.4053,0.5715,-0.6869,-0.434,0.7517,-0.4075,0.1038,1.0064
1j16,-1.9932,0.0835,-2.6135,-1.3886,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-0.9056,-1.276,-2.0498,0.7716,-1.7141,-0.812,-1.2831,-1.2932,-1.2346,-0.8144,-1.2833,-0.172,-0.6375
1j17,-0.1819,0.2391,-1.2335,0.3562,0.7813,0.984,1.3966,-0.9165,0.792,0.6497,-1.276,0.8833,-0.2608,-0.9536,-0.3931,2.8506,-0.6916,-0.434,0.159,-0.1886,0.0517,-0.6375
1jaq,-0.4258,1.6409,-1.9735,-0.4569,-0.6385,-0.6727,-0.379,3.0645,-1.2618,-0.2888,0.2553,0.3908,0.1311,-0.9891,-0.0011,-0.4901,-0.2902,0.0996,-0.1815,0.2493,-0.35,1.4761
1jq9,-0.2762,1.4072,1.9965,1.2966,1.6616,-1.0833,1.1705,0.3381,0.7858,1.3738,0.7822,1.1709,-1.6549,0.9695,3.7658,0.5869,1.947,0.9002,-0.8144,1.3441,1.3524,0.5367
1jqd,-1.7475,0.2583,-1.2935,0.2693,-0.1741,-1.2116,-0.9649,-0.5656,-0.8678,0.0598,0.1651,-0.3489,0.2592,0.9259,0.3044,-0.3044,0.9344,0.0996,0.9146,0.6872,-0.9016,-0.6375
1jqe,0.6932,1.1683,-0.0135,0.1364,0.4326,1.2668,1.8239,-0.2759,0.0284,0.4352,-1.276,-1.3764,0.2215,0.4121,-0.3946,0.6275,-0.3761,-0.9677,-0.2381,-0.8454,-0.4347,0.0671
1jys,-2.7451,0.7981,-2.9335,-1.4828,-1.2174,-0.1567,-1.214,-0.2214,-0.8678,-1.3078,-1.0738,-2.14,0.5154,-0.841,-0.7858,-1.2831,-0.6366,-1.2346,0.9146,-0.6265,-0.9016,-0.6375
1k4g,-1.5033,0.6638,-0.6035,-0.5019,-0.4364,0.2031,-0.4432,-0.493,-0.0007,-1.0128,-0.1116,0.0707,-0.1101,-0.6561,-0.5741,-0.0066,-0.2855,-0.9677,0.3383,-0.1886,-0.4282,-0.6375
1k9s,-0.4863,0.6440,0.0665,-0.1669,-0.5348,-0.9012,-1.214,-0.4605,-0.8868,0.1134,0.3632,-1.5672,0.3949,-0.712,-0.0979,-1.2831,0.2895,-0.1672,-0.2863,0.2493,-0.9016,0.5367
1kv1,-0.1841,0.5387,-0.5135,-0.384,-0.4689,1.1003,-0.1584,-0.16,0.0175,-1.1469,-0.5399,0.2179,0.2441,-1.4663,-1.0405,0.9148,-0.9673,-0.9677,-0.26,-0.6265,0.3927,-0.6375
1l2s,-1.1923,0.7860,-1.8635,-0.6633,-0.7205,0.3457,0.3394,-0.2581,0.1594,-0.7983,0.3934,0.045,0.5757,0.9258,-0.3444,-0.7668,-0.6854,-0.1672,0.159,-0.6265,-0.4347,-0.6375
1l83,-2.5547,0.2548,-3.0535,-1.7068,-1.5179,0.3829,-1.214,0.268,-0.1286,-2.005,-1.276,-2.2354,1.1711,-4.3218,-1.3051,-1.2831,-1.2932,-1.2346,-0.8144,-1.7212,0.5576,-0.6375
1li3,-1.6276,0.2070,-2.2035,-1.4619,-1.4183,0.4935,-0.4223,0.2418,-0.3494,-1.8173,-0.9873,-2.1736,1.2389,0.5338,-1.1941,-1.0409,-0.9796,-0.9677,-0.8144,-1.5023,-0.1915,-0.6375
1li6,-3.5209,0.4363,-2.6535,-1.6971,-1.4327,0.2709,-0.4079,0.179,-0.5132,-1.8709,-1.1169,-2.2022,1.2163,-0.9973,-1.1066,-0.4897,-0.9877,-1.2346,-0.8144,-1.5023,-0.9016,-0.4026
1lol,-1.0126,0.6716,-0.0635,-0.3369,-0.216,-0.7474,-1.214,-0.4515,-0.4135,0.033,0.7586,-0.1188,0.0181,1.2311,0.2478,-1.2831,-0.3752,1.167,0.8395,1.1251,-0.9016,-0.6375
1loq,-1.6390,0.4729,-2.7535,-0.3557,-0.4945,-0.7093,-1.214,-0.0977,-0.2287,0.1671,1.1847,-0.0502,0.4175,1.2311,0.6474,-0.6942,-0.3752,1.167,0.2631,0.6872,-0.9016,-0.6375
1m0n,-1.0602,0.9721,-4.2335,0.595,-0.1164,0.8876,0.1986,0.1017,-0.5431,1.2397,1.4077,-0.0146,0.2366,1.2338,2.4885,0.5762,-0.9796,0.9002,1.2924,0.4683,-0.9016,-0.1678
1m0q,-2.2174,1.0246,-2.5635,0.2727,-0.3959,0.6028,-0.6155,0.7803,-0.5431,1.1056,1.7488,-0.4271,0.2366,1.2338,2.0859,0.2458,-0.9796,0.9002,1.2924,0.4683,-0.9016,-0.1678
1m2q,0.1921,0.4383,-0.3535,-0.2589,-0.5198,0.5613,-0.4223,-0.2658,0.3182,-0.3156,-0.8468,0.1639,-0.5697,0.5243,-0.3997,-0.9918,-0.3948,-0.434,-0.8144,-0.1886,-0.6584,-0.6375
1mq6,1.9224,0.9751,4.6965,0.646,0.4704,1.5376,-0.1884,-0.815,0.8252,0.9983,-0.8771,0.6231,-0.5396,0.3877,-0.4789,0.6638,0.241,-0.1672,0.3392,0.2493,0.4992,-0.6375
1n2v,-2.6322,0.3265,-2.3735,-0.8139,-0.7025,-0.0498,-0.9357,-0.2012,-0.4325,-0.5838,-0.036,-0.2157,0.3647,-1.3258,-0.3251,-0.3811,-0.9877,-0.7009,-0.2381,-0.4075,-0.3693,-0.4026
1nc1,0.9158,0.5772,-0.3335,-0.0227,-0.5308,-0.1381,-0.68,-0.4871,-0.683,0.4084,0.0954,-1.5243,0.7415,-0.7783,0.257,-0.3801,0.2563,-0.434,0.3383,-0.1886,-0.9016,-0.6375
1ndw,1.1684,0.5966,-1.2235,-0.3912,-0.5457,0.217,-0.4144,-0.1013,0.4243,0.1671,-0.231,-0.2115,0.1462,-0.7049,0.1788,-0.7212,-0.3481,-0.7009,-0.2381,-0.6265,0.3144,0.3019
1ndy,0.6060,0.3669,-0.2835,-0.0346,-0.1097,0.5723,0.0561,-0.4012,0.8021,0.033,-0.2238,-0.1424,-0.2457,-0.7049,-0.0957,-0.7212,-0.3481,-0.7009,-0.2381,-0.6265,0.8008,-0.1678
1ndz,1.7462,1.3546,1.6565,1.5653,1.1632,0.7932,0.6191,-0.9225,1.1921,2.205,-0.261,0.6244,-1.5871,-0.7049,1.5982,1.577,0.5385,-0.434,0.3383,0.4683,-0.172,-0.1678
1nfy,1.4495,0.3632,2.4365,0.3055,0.3935,0.1875,0.5837,-0.7882,0.7539,0.5157,-1.006,0.6076,-0.095,-1.3403,-0.6052,0.2573,-0.9924,-0.434,0.159,-0.1886,0.2949,-0.6375
1nhu,-0.8377,1.0657,-0.7935,-0.5349,0.2219,1.4086,0.8698,-0.3043,2.0141,-1.2273,-0.74,0.7489,-0.5245,0.9693,-0.9114,-0.5956,-0.3846,-0.434,-0.8144,-0.8454,1.7347,-0.6375
1nja,-1.2506,0.9024,-0.1435,-0.4462,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523,-0.4765,1.0481,-0.0533,0.4476,1.2311,-0.045,-0.5461,-0.3377,0.6333,0.2631,0.4683,-0.9016,1.0064
1nje,-0.9785,0.3977,-2.6535,-0.4597,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523,-0.1011,1.5687,-0.0533,0.4476,1.2311,0.3659,-0.5461,-0.3377,0.6333,0.2631,0.4683,-0.9016,0.3019
1nny,1.2333,1.6360,1.2065,1.6728,2.208,0.34,1.6253,-0.8653,2.2817,1.7492,2.237,0.9921,-3.3354,0.935,1.0799,1.3227,1.4729,1.4339,-0.8144,1.1251,2.0168,-0.6375
1nvq,1.8725,0.7445,1.7965,0.9592,1.2758,0.7317,-0.387,-0.8289,0.5969,0.1403,0.0168,0.7801,-0.826,-0.967,-0.4108,1.0006,0.8142,-0.1672,-0.8144,0.0304,0.5576,-0.6375
1nwl,-0.9987,1.2290,-4.0635,-0.3664,0.0813,-0.2099,-0.1007,-0.321,-0.52,0.0062,-0.6573,0.5303,-0.0046,0.9165,0.9903,2.4503,0.2924,0.0996,-0.2381,0.4683,-0.0327,-0.6375
1o0h,-0.7545,0.4120,-0.5335,-0.0312,-0.1291,-0.2696,-1.214,-0.5488,-0.8678,1.3201,0.5408,-0.2803,0.1612,1.3418,1.3723,-1.2831,-0.0241,1.4339,1.9704,1.563,-0.9016,-0.6375
1o3f,-0.2451,0.3925,1.5065,-0.2617,0.1494,0.6865,0.3485,-0.6096,1.1785,0.5157,-0.6908,-1.5374,-0.9013,0.5195,1.9106,-0.2211,-0.6741,-0.9677,-0.8144,-0.8454,0.8008,-0.6375
1o3p,0.5837,0.6113,0.2065,0.0082,0.0703,0.3936,1.2189,-0.7179,0.0453,0.6497,-0.6908,-1.6306,-0.517,0.4885,0.5608,-0.7544,-0.3833,-0.7009,-0.2381,-0.4075,-0.6584,-0.6375
1om1,-0.1563,0.4441,0.3165,-0.0498,-0.0829,0.2411,-0.4223,-0.3825,0.7466,-0.6106,-1.0398,0.1844,-0.5622,0.9903,-0.3454,-0.0281,-0.3799,-0.434,-0.8144,-0.6265,0.3144,-0.6375
1p1q,0.3573,0.3430,-1.5635,-0.78,-1.0519,-1.0058,-0.9148,0.4506,-0.5843,0.3011,0.7523,-0.3065,0.5832,0.9258,0.9527,-0.6455,-0.0571,-0.434,-0.8144,-0.4075,-0.9016,1.2413
1pb9,0.0942,1.1122,-2.8335,-1.5958,-1.4668,-0.8582,-1.214,0.0382,-1.2618,-0.5838,0.7123,-0.5896,1.2992,-1.2388,-0.1862,-1.2831,-0.9425,-0.7009,-0.1815,-0.8454,-0.9016,1.2413
1pbq,-1.6369,0.5138,-0.1835,-0.7117,-0.982,0.3595,-0.6862,-0.0545,-0.2033,0.0598,-0.4103,-0.6693,0.6134,0.9174,-0.2493,-0.7497,-0.3718,-0.434,-0.2381,-0.8454,0.0323,-0.6375
1ppm,1.6410,1.2663,-0.6535,1.2085,1.2043,1.0091,0.4062,0.0875,0.9746,1.0788,0.7984,0.9816,-1.1726,0.0888,-0.0487,0.1475,0.2662,1.167,1.3502,0.9062,2.082,-0.6375
1pr5,-0.9870,0.6622,-2.5335,-0.5881,-0.6269,-0.5604,-0.9501,-0.4607,-0.683,-0.4765,0.1184,-1.5752,0.4476,-0.712,-0.2854,-0.9855,0.5699,-0.1672,0.3383,0.0304,-0.9016,0.0671
1pxo,0.9306,0.8670,2.2465,-0.1077,-0.3792,0.8315,-0.387,-0.592,0.3696,-0.7715,-0.7494,-0.5042,-0.5547,-0.9133,-0.2631,0.0695,-0.6162,-1.2346,0.9146,0.0304,-0.2021,0.0671
1pz5,0.1889,1.6803,-1.0535,2.0405,3.1383,-1.9879,1.2082,-0.0781,0.4284,2.3928,-0.188,1.4927,-3.2676,0.9932,1.2199,3.479,3.5169,1.9675,-0.2381,3.5335,-0.172,2.8852
1q7a,-0.2931,0.7225,0.7365,-0.4483,-0.1916,0.9396,0.6477,-0.415,0.438,-1.1737,-1.2289,0.6228,-0.3663,0.5344,-0.6717,-0.6884,-0.9796,-0.434,0.344,-0.6265,0.6168,-0.6375
1q8t,0.0585,0.7372,-1.6935,-0.363,-0.5788,0.3121,0.7264,-0.0746,-0.4982,-1.1201,-1.0015,0.4051,0.6888,-1.1308,-0.5014,1.0135,-0.6166,-0.9677,-0.8144,-0.8454,-0.9016,-0.6375
